Retailer;Retailer ID;Date;Month;Region;State;Beverage Brand;Category;Price per Unit;Units Sold;Week Number;days of week;Sugar/No sugar;POPULATION DENSITY;WEATHER°C
Sodapop;1185732;10/05/2022;1;Northeast;New York;Dasani Water;Water;$0.65 ;10;20;Saturday;No Sugar;427.9;21.58
Sodapop;1185732;12/06/2022;1;Northeast;New York;Coca-Cola;Soda;$0.60 ;12.5;25;Sunday;Sugar;427.9;24.02
Sodapop;1185732;12/06/2022;1;Northeast;New York;Diet Coke;Soda;$0.55 ;10;25;Monday;No Sugar;427.9;7.93
Sodapop;1185732;12/06/2022;1;Northeast;New York;Sprite;Soda;$0.50 ;9.25;25;Tuesday;Sugar;427.9;37.48
Sodapop;1185732;12/06/2022;1;Northeast;New York;Fanta;Soda;$0.50 ;9;25;Wednesday;Sugar;427.9;27.36
Sodapop;1185732;12/06/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;9;25;Thursday;Sugar;427.9;28.54
Sodapop;1185732;12/06/2022;1;Northeast;New York;Dasani Water;Water;$0.65 ;10.5;25;Friday;No Sugar;427.9;28.74
Sodapop;1185732;10/07/2022;1;Northeast;New York;Coca-Cola;Soda;$0.60 ;12.75;29;Saturday;Sugar;427.9;32.78
Sodapop;1185732;10/07/2022;1;Northeast;New York;Diet Coke;Soda;$0.55 ;10.25;29;Sunday;No Sugar;427.9;14.69
Sodapop;1185732;10/07/2022;1;Northeast;New York;Sprite;Soda;$0.50 ;9.5;29;Monday;Sugar;427.9;32.15
Sodapop;1185732;10/07/2022;1;Northeast;New York;Fanta;Soda;$0.50 ;9;29;Tuesday;Sugar;427.9;12.33
Sodapop;1185732;10/07/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;9.25;29;Wednesday;Sugar;427.9;7.32
Sodapop;1185732;10/07/2022;1;Northeast;New York;Dasani Water;Water;$0.65 ;11;29;Thursday;No Sugar;427.9;35.58
Sodapop;1185732;11/08/2022;1;Northeast;New York;Coca-Cola;Soda;$0.60 ;12.5;33;Friday;Sugar;427.9;6.09
Sodapop;1185732;11/08/2022;1;Northeast;New York;Diet Coke;Soda;$0.55 ;10.25;33;Saturday;No Sugar;427.9;37.93
Sodapop;1185732;11/08/2022;1;Northeast;New York;Sprite;Soda;$0.50 ;9.5;33;Sunday;Sugar;427.9;35.38
Sodapop;1185732;11/08/2022;1;Northeast;New York;Fanta;Soda;$0.50 ;9.25;33;Monday;Sugar;427.9;31.08
Sodapop;1185732;11/08/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;9;33;Tuesday;Sugar;427.9;26.5
Sodapop;1185732;11/08/2022;1;Northeast;New York;Dasani Water;Water;$0.65 ;10.75;33;Wednesday;No Sugar;427.9;23.95
Sodapop;1185732;10/09/2022;1;Northeast;New York;Coca-Cola;Soda;$0.60 ;12;37;Thursday;Sugar;427.9;11.46
Sodapop;1185732;10/09/2022;1;Northeast;New York;Diet Coke;Soda;$0.55 ;10;37;Friday;No Sugar;427.9;33.98
Sodapop;1185732;10/09/2022;1;Northeast;New York;Sprite;Soda;$0.50 ;9.25;37;Saturday;Sugar;427.9;33.77
Sodapop;1185732;10/09/2022;1;Northeast;New York;Fanta;Soda;$0.50 ;9;37;Sunday;Sugar;427.9;23.11
Sodapop;1185732;10/09/2022;1;Northeast;New York;Powerade;Sports Drink;$0.60 ;9;37;Monday;Sugar;427.9;37.04
Sodapop;1185732;10/09/2022;1;Northeast;New York;Dasani Water;Water;$0.65 ;10;37;Tuesday;No Sugar;427.9;22.78
Sodapop;1185732;12/10/2022;1;Northeast;New York;Coca-Cola;Soda;$0.65 ;11.75;42;Wednesday;Sugar;427.9;14.68
Sodapop;1185732;12/10/2022;1;Northeast;New York;Diet Coke;Soda;$0.55 ;10;42;Thursday;No Sugar;427.9;17.78
Sodapop;1185732;12/10/2022;1;Northeast;New York;Sprite;Soda;$0.55 ;9;42;Friday;Sugar;427.9;33.84
Sodapop;1185732;12/10/2022;1;Northeast;New York;Fanta;Soda;$0.55 ;8.75;42;Saturday;Sugar;427.9;26.27
Sodapop;1185732;12/10/2022;1;Northeast;New York;Powerade;Sports Drink;$0.65 ;8.75;42;Sunday;Sugar;427.9;20.89
Sodapop;1185732;12/10/2022;1;Northeast;New York;Dasani Water;Water;$0.70 ;10;42;Monday;No Sugar;427.9;20.25
Sodapop;1185732;11/11/2022;1;Northeast;New York;Coca-Cola;Soda;$0.65 ;11.5;46;Tuesday;Sugar;427.9;24.11
Sodapop;1185732;11/11/2022;1;Northeast;New York;Diet Coke;Soda;$0.55 ;9.75;46;Wednesday;No Sugar;427.9;7.93
Sodapop;1185732;11/11/2022;1;Northeast;New York;Sprite;Soda;$0.55 ;9.2;46;Thursday;Sugar;427.9;11.98
Sodapop;1185732;11/11/2022;1;Northeast;New York;Fanta;Soda;$0.55 ;9;46;Friday;Sugar;427.9;18.15
Sodapop;1185732;11/11/2022;1;Northeast;New York;Powerade;Sports Drink;$0.65 ;8.75;46;Saturday;Sugar;427.9;37.11
Sodapop;1185732;11/11/2022;1;Northeast;New York;Dasani Water;Water;$0.70 ;9.75;46;Sunday;No Sugar;427.9;10.98
Sodapop;1185732;10/12/2022;1;Northeast;New York;Coca-Cola;Soda;$0.65 ;12;50;Monday;Sugar;427.9;21.82
Sodapop;1185732;10/12/2022;1;Northeast;New York;Diet Coke;Soda;$0.55 ;10;50;Tuesday;No Sugar;427.9;30.44
Sodapop;1185732;10/12/2022;1;Northeast;New York;Sprite;Soda;$0.55 ;9.5;50;Wednesday;Sugar;427.9;24.67
Sodapop;1185732;10/12/2022;1;Northeast;New York;Fanta;Soda;$0.55 ;9;50;Thursday;Sugar;427.9;8.27
Sodapop;1185732;10/12/2022;1;Northeast;New York;Powerade;Sports Drink;$0.65 ;9;50;Friday;Sugar;427.9;35.78
Sodapop;1185732;10/12/2022;1;Northeast;New York;Dasani Water;Water;$0.70 ;10;50;Saturday;No Sugar;427.9;34.44
BevCo;1197831;02/01/2022;1;South;Texas;Coca-Cola;Soda;$0.25 ;9;2;Sunday;Sugar;114.7;12.7
BevCo;1197831;02/01/2022;1;South;Texas;Diet Coke;Soda;$0.35 ;9;2;Monday;No Sugar;114.7;31.54
BevCo;1197831;02/01/2022;1;South;Texas;Sprite;Soda;$0.35 ;7;2;Tuesday;Sugar;114.7;35.96
BevCo;1197831;02/01/2022;1;South;Texas;Fanta;Soda;$0.35 ;7;2;Wednesday;Sugar;114.7;39.9
BevCo;1197831;02/01/2022;1;South;Texas;Powerade;Sports Drink;$0.40 ;5.5;2;Thursday;Sugar;114.7;30.47
BevCo;1197831;02/01/2022;1;South;Texas;Dasani Water;Water;$0.35 ;7;2;Friday;No Sugar;114.7;38.43
BevCo;1197831;01/02/2022;1;South;Texas;Coca-Cola;Soda;$0.25 ;8.5;6;Saturday;Sugar;114.7;39.04
BevCo;1197831;01/02/2022;1;South;Texas;Diet Coke;Soda;$0.35 ;8.5;6;Sunday;No Sugar;114.7;14.53
BevCo;1197831;01/02/2022;1;South;Texas;Sprite;Soda;$0.35 ;6.75;6;Monday;Sugar;114.7;32.49
BevCo;1197831;01/02/2022;1;South;Texas;Fanta;Soda;$0.35 ;6.25;6;Tuesday;Sugar;114.7;6.13
BevCo;1197831;01/02/2022;1;South;Texas;Powerade;Sports Drink;$0.40 ;5;6;Wednesday;Sugar;114.7;27.75
BevCo;1197831;01/02/2022;1;South;Texas;Dasani Water;Water;$0.35 ;7;6;Thursday;No Sugar;114.7;22.65
BevCo;1197831;03/03/2022;1;South;Texas;Coca-Cola;Soda;$0.30 ;8.75;10;Friday;Sugar;114.7;24.75
BevCo;1197831;03/03/2022;1;South;Texas;Diet Coke;Soda;$0.40 ;8.75;10;Saturday;No Sugar;114.7;36.76
BevCo;1197831;03/03/2022;1;South;Texas;Sprite;Soda;$0.35 ;7;10;Sunday;Sugar;114.7;24.86
BevCo;1197831;03/03/2022;1;South;Texas;Fanta;Soda;$0.40 ;6;10;Monday;Sugar;114.7;28.32
BevCo;1197831;03/03/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;5;10;Tuesday;Sugar;114.7;21.81
BevCo;1197831;03/03/2022;1;South;Texas;Dasani Water;Water;$0.40 ;6.5;10;Wednesday;No Sugar;114.7;33.37
BevCo;1197831;02/04/2022;1;South;Texas;Coca-Cola;Soda;$0.30 ;9;14;Thursday;Sugar;114.7;22.89
BevCo;1197831;02/04/2022;1;South;Texas;Diet Coke;Soda;$0.40 ;9;14;Friday;No Sugar;114.7;6.84
BevCo;1197831;02/04/2022;1;South;Texas;Sprite;Soda;$0.35 ;7.25;14;Saturday;Sugar;114.7;38.28
BevCo;1197831;02/04/2022;1;South;Texas;Fanta;Soda;$0.40 ;6.25;14;Sunday;Sugar;114.7;26.9
BevCo;1197831;02/04/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;5.25;14;Monday;Sugar;114.7;13.34
BevCo;1197831;02/04/2022;1;South;Texas;Dasani Water;Water;$0.40 ;8;14;Tuesday;No Sugar;114.7;36.92
BevCo;1197831;02/05/2022;1;South;Texas;Coca-Cola;Soda;$0.30 ;9.25;19;Wednesday;Sugar;114.7;17.02
BevCo;1197831;02/05/2022;1;South;Texas;Diet Coke;Soda;$0.40 ;9.25;19;Thursday;No Sugar;114.7;38.77
BevCo;1197831;02/05/2022;1;South;Texas;Sprite;Soda;$0.35 ;7.75;19;Friday;Sugar;114.7;20.61
BevCo;1197831;02/05/2022;1;South;Texas;Fanta;Soda;$0.40 ;7;19;Saturday;Sugar;114.7;16.32
BevCo;1197831;02/05/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;6;19;Sunday;Sugar;114.7;17.3
BevCo;1197831;02/05/2022;1;South;Texas;Dasani Water;Water;$0.40 ;9.5;19;Monday;No Sugar;114.7;23.9
BevCo;1197831;01/06/2022;1;South;Texas;Coca-Cola;Soda;$0.40 ;9.5;23;Tuesday;Sugar;114.7;30.53
BevCo;1197831;01/06/2022;1;South;Texas;Diet Coke;Soda;$0.45 ;9.5;23;Wednesday;No Sugar;114.7;20.68
BevCo;1197831;01/06/2022;1;South;Texas;Sprite;Soda;$0.40 ;8;23;Thursday;Sugar;114.7;22.37
BevCo;1197831;01/06/2022;1;South;Texas;Fanta;Soda;$0.40 ;7.5;23;Friday;Sugar;114.7;38.51
BevCo;1197831;01/06/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;6.5;23;Saturday;Sugar;114.7;10.62
BevCo;1197831;01/06/2022;1;South;Texas;Dasani Water;Water;$0.50 ;10;23;Sunday;No Sugar;114.7;15.36
BevCo;1197831;03/07/2022;1;South;Texas;Coca-Cola;Soda;$0.40 ;9.5;28;Monday;Sugar;114.7;18.16
BevCo;1197831;03/07/2022;1;South;Texas;Diet Coke;Soda;$0.45 ;9.5;28;Tuesday;No Sugar;114.7;12.55
BevCo;1197831;03/07/2022;1;South;Texas;Sprite;Soda;$0.40 ;11;28;Wednesday;Sugar;114.7;21.46
BevCo;1197831;03/07/2022;1;South;Texas;Fanta;Soda;$0.40 ;7;28;Thursday;Sugar;114.7;9.39
BevCo;1197831;03/07/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;7;28;Friday;Sugar;114.7;15.25
BevCo;1197831;03/07/2022;1;South;Texas;Dasani Water;Water;$0.50 ;9.75;28;Saturday;No Sugar;114.7;12.54
BevCo;1197831;05/08/2022;1;South;Texas;Coca-Cola;Soda;$0.40 ;9.25;32;Sunday;Sugar;114.7;13.34
BevCo;1197831;05/08/2022;1;South;Texas;Diet Coke;Soda;$0.45 ;9.25;32;Monday;No Sugar;114.7;16.65
BevCo;1197831;05/08/2022;1;South;Texas;Sprite;Soda;$0.40 ;11;32;Tuesday;Sugar;114.7;37.09
BevCo;1197831;05/08/2022;1;South;Texas;Fanta;Soda;$0.40 ;6.5;32;Wednesday;Sugar;114.7;25.51
BevCo;1197831;05/08/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;6.5;32;Thursday;Sugar;114.7;15.82
BevCo;1197831;05/08/2022;1;South;Texas;Dasani Water;Water;$0.50 ;9;32;Friday;No Sugar;114.7;17.8
BevCo;1197831;02/09/2022;1;South;Texas;Coca-Cola;Soda;$0.45 ;8.5;36;Saturday;Sugar;114.7;26.23
BevCo;1197831;02/09/2022;1;South;Texas;Diet Coke;Soda;$0.45 ;8.5;36;Sunday;No Sugar;114.7;5.46
BevCo;1197831;02/09/2022;1;South;Texas;Sprite;Soda;$0.50 ;9;36;Monday;Sugar;114.7;25.02
BevCo;1197831;02/09/2022;1;South;Texas;Fanta;Soda;$0.50 ;6.25;36;Tuesday;Sugar;114.7;33.67
BevCo;1197831;02/09/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;6.25;36;Wednesday;Sugar;114.7;18.25
BevCo;1197831;02/09/2022;1;South;Texas;Dasani Water;Water;$0.55 ;8.5;36;Thursday;No Sugar;114.7;7.19
BevCo;1197831;01/10/2022;1;South;Texas;Coca-Cola;Soda;$0.45 ;8;40;Friday;Sugar;114.7;38.77
BevCo;1197831;01/10/2022;1;South;Texas;Diet Coke;Soda;$0.45 ;8;40;Saturday;No Sugar;114.7;18.06
BevCo;1197831;01/10/2022;1;South;Texas;Sprite;Soda;$0.50 ;7.5;40;Sunday;Sugar;114.7;39.73
BevCo;1197831;01/10/2022;1;South;Texas;Fanta;Soda;$0.50 ;6;40;Monday;Sugar;114.7;33.84
BevCo;1197831;01/10/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;5.75;40;Tuesday;Sugar;114.7;18.75
BevCo;1197831;01/10/2022;1;South;Texas;Dasani Water;Water;$0.55 ;7.5;40;Wednesday;No Sugar;114.7;39.0
BevCo;1197831;02/11/2022;1;South;Texas;Coca-Cola;Soda;$0.45 ;9;45;Thursday;Sugar;114.7;6.89
BevCo;1197831;02/11/2022;1;South;Texas;Diet Coke;Soda;$0.45 ;9;45;Friday;No Sugar;114.7;16.15
BevCo;1197831;02/11/2022;1;South;Texas;Sprite;Soda;$0.50 ;8.25;45;Saturday;Sugar;114.7;17.57
BevCo;1197831;02/11/2022;1;South;Texas;Fanta;Soda;$0.50 ;6.75;45;Sunday;Sugar;114.7;32.61
BevCo;1197831;02/11/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;6.5;45;Monday;Sugar;114.7;36.99
BevCo;1197831;02/11/2022;1;South;Texas;Dasani Water;Water;$0.55 ;8.5;45;Tuesday;No Sugar;114.7;37.78
BevCo;1197831;01/12/2022;1;South;Texas;Coca-Cola;Soda;$0.45 ;9.5;49;Wednesday;Sugar;114.7;25.97
BevCo;1197831;01/12/2022;1;South;Texas;Diet Coke;Soda;$0.45 ;9.5;49;Thursday;No Sugar;114.7;12.36
BevCo;1197831;01/12/2022;1;South;Texas;Sprite;Soda;$0.50 ;8.5;49;Friday;Sugar;114.7;30.47
BevCo;1197831;01/12/2022;1;South;Texas;Fanta;Soda;$0.50 ;7;49;Saturday;Sugar;114.7;24.65
BevCo;1197831;01/12/2022;1;South;Texas;Powerade;Sports Drink;$0.45 ;6.5;49;Sunday;Sugar;114.7;5.48
BevCo;1197831;01/12/2022;1;South;Texas;Dasani Water;Water;$0.55 ;9;49;Monday;No Sugar;114.7;8.24
FizzySip;1128299;20/01/2022;1;West;California;Coca-Cola;Soda;$0.40 ;7.75;4;Tuesday;Sugar;253.5;14.13
FizzySip;1128299;20/01/2022;1;West;California;Diet Coke;Soda;$0.50 ;7.75;4;Wednesday;No Sugar;253.5;28.65
FizzySip;1128299;20/01/2022;1;West;California;Sprite;Soda;$0.50 ;7.75;4;Thursday;Sugar;253.5;34.26
FizzySip;1128299;20/01/2022;1;West;California;Fanta;Soda;$0.50 ;6.25;4;Friday;Sugar;253.5;36.82
FizzySip;1128299;20/01/2022;1;West;California;Powerade;Sports Drink;$0.55 ;5.75;4;Saturday;Sugar;253.5;34.91
FizzySip;1128299;20/01/2022;1;West;California;Dasani Water;Water;$0.50 ;7.75;4;Sunday;No Sugar;253.5;30.88
FizzySip;1128299;20/02/2022;1;West;California;Coca-Cola;Soda;$0.40 ;8.25;9;Monday;Sugar;253.5;16.41
FizzySip;1128299;20/02/2022;1;West;California;Diet Coke;Soda;$0.50 ;7.25;9;Tuesday;No Sugar;253.5;13.06
FizzySip;1128299;20/02/2022;1;West;California;Sprite;Soda;$0.50 ;7.25;9;Wednesday;Sugar;253.5;37.54
FizzySip;1128299;20/02/2022;1;West;California;Fanta;Soda;$0.50 ;5.75;9;Thursday;Sugar;253.5;38.37
FizzySip;1128299;20/02/2022;1;West;California;Powerade;Sports Drink;$0.55 ;5;9;Friday;Sugar;253.5;33.98
FizzySip;1128299;20/02/2022;1;West;California;Dasani Water;Water;$0.50 ;7;9;Saturday;No Sugar;253.5;25.69
FizzySip;1128299;19/03/2022;1;West;California;Coca-Cola;Soda;$0.50 ;8.5;12;Sunday;Sugar;253.5;10.47
FizzySip;1128299;19/03/2022;1;West;California;Diet Coke;Soda;$0.60 ;7;12;Monday;No Sugar;253.5;33.44
FizzySip;1128299;19/03/2022;1;West;California;Sprite;Soda;$0.60 ;7;12;Tuesday;Sugar;253.5;34.64
FizzySip;1128299;19/03/2022;1;West;California;Fanta;Soda;$0.60 ;6;12;Wednesday;Sugar;253.5;28.88
FizzySip;1128299;19/03/2022;1;West;California;Powerade;Sports Drink;$0.65 ;5;12;Thursday;Sugar;253.5;34.01
FizzySip;1128299;19/03/2022;1;West;California;Dasani Water;Water;$0.60 ;7;12;Friday;No Sugar;253.5;9.48
FizzySip;1128299;20/04/2022;1;West;California;Coca-Cola;Soda;$0.60 ;8.75;17;Saturday;Sugar;253.5;26.59
FizzySip;1128299;20/04/2022;1;West;California;Diet Coke;Soda;$0.65 ;6.75;17;Sunday;No Sugar;253.5;27.38
FizzySip;1128299;20/04/2022;1;West;California;Sprite;Soda;$0.65 ;7.25;17;Monday;Sugar;253.5;27.33
FizzySip;1128299;20/04/2022;1;West;California;Fanta;Soda;$0.60 ;6.25;17;Tuesday;Sugar;253.5;38.33
FizzySip;1128299;20/04/2022;1;West;California;Powerade;Sports Drink;$0.65 ;5.25;17;Wednesday;Sugar;253.5;34.71
FizzySip;1128299;20/04/2022;1;West;California;Dasani Water;Water;$0.80 ;7;17;Thursday;No Sugar;253.5;33.2
FizzySip;1128299;21/05/2022;1;West;California;Coca-Cola;Soda;$0.60 ;9;21;Friday;Sugar;253.5;26.55
FizzySip;1128299;21/05/2022;1;West;California;Diet Coke;Soda;$0.65 ;7.5;21;Saturday;No Sugar;253.5;24.51
FizzySip;1128299;21/05/2022;1;West;California;Sprite;Soda;$0.65 ;7.5;21;Sunday;Sugar;253.5;5.22
FizzySip;1128299;21/05/2022;1;West;California;Fanta;Soda;$0.60 ;6.5;21;Monday;Sugar;253.5;24.5
FizzySip;1128299;21/05/2022;1;West;California;Powerade;Sports Drink;$0.65 ;5.5;21;Tuesday;Sugar;253.5;32.61
FizzySip;1128299;21/05/2022;1;West;California;Dasani Water;Water;$0.80 ;7.25;21;Wednesday;No Sugar;253.5;33.18
FizzySip;1128299;20/06/2022;1;West;California;Coca-Cola;Soda;$0.60 ;9.75;26;Thursday;Sugar;253.5;27.42
FizzySip;1128299;20/06/2022;1;West;California;Diet Coke;Soda;$0.65 ;8.25;26;Friday;No Sugar;253.5;11.2
FizzySip;1128299;20/06/2022;1;West;California;Sprite;Soda;$0.65 ;8.25;26;Saturday;Sugar;253.5;23.97
FizzySip;1128299;20/06/2022;1;West;California;Fanta;Soda;$0.60 ;7;26;Sunday;Sugar;253.5;23.11
FizzySip;1128299;20/06/2022;1;West;California;Powerade;Sports Drink;$0.65 ;5.75;26;Monday;Sugar;253.5;27.68
FizzySip;1128299;20/06/2022;1;West;California;Dasani Water;Water;$0.80 ;8.75;26;Tuesday;No Sugar;253.5;36.11
FizzySip;1128299;19/07/2022;1;West;California;Coca-Cola;Soda;$0.60 ;10.25;30;Wednesday;Sugar;253.5;37.98
FizzySip;1128299;19/07/2022;1;West;California;Diet Coke;Soda;$0.65 ;8.75;30;Thursday;No Sugar;253.5;31.8
FizzySip;1128299;19/07/2022;1;West;California;Sprite;Soda;$0.65 ;8.25;30;Friday;Sugar;253.5;26.91
FizzySip;1128299;19/07/2022;1;West;California;Fanta;Soda;$0.60 ;7.25;30;Saturday;Sugar;253.5;9.73
FizzySip;1128299;19/07/2022;1;West;California;Powerade;Sports Drink;$0.65 ;7.75;30;Sunday;Sugar;253.5;24.96
FizzySip;1128299;19/07/2022;1;West;California;Dasani Water;Water;$0.80 ;7.75;30;Monday;No Sugar;253.5;24.48
FizzySip;1128299;20/08/2022;1;West;California;Coca-Cola;Soda;$0.65 ;9.75;34;Tuesday;Sugar;253.5;34.96
FizzySip;1128299;20/08/2022;1;West;California;Diet Coke;Soda;$0.70 ;9.25;34;Wednesday;No Sugar;253.5;39.83
FizzySip;1128299;20/08/2022;1;West;California;Sprite;Soda;$0.65 ;8;34;Thursday;Sugar;253.5;23.6
FizzySip;1128299;20/08/2022;1;West;California;Fanta;Soda;$0.65 ;7.5;34;Friday;Sugar;253.5;9.69
FizzySip;1128299;20/08/2022;1;West;California;Powerade;Sports Drink;$0.75 ;7.5;34;Saturday;Sugar;253.5;39.12
FizzySip;1128299;20/08/2022;1;West;California;Dasani Water;Water;$0.80 ;7.25;34;Sunday;No Sugar;253.5;15.44
FizzySip;1128299;21/09/2022;1;West;California;Coca-Cola;Soda;$0.55 ;9.25;39;Monday;Sugar;253.5;15.7
FizzySip;1128299;21/09/2022;1;West;California;Diet Coke;Soda;$0.60 ;9.25;39;Tuesday;No Sugar;253.5;21.03
FizzySip;1128299;21/09/2022;1;West;California;Sprite;Soda;$0.55 ;7.75;39;Wednesday;Sugar;253.5;24.13
FizzySip;1128299;21/09/2022;1;West;California;Fanta;Soda;$0.55 ;7.25;39;Thursday;Sugar;253.5;25.87
FizzySip;1128299;21/09/2022;1;West;California;Powerade;Sports Drink;$0.65 ;7.25;39;Friday;Sugar;253.5;5.53
FizzySip;1128299;21/09/2022;1;West;California;Dasani Water;Water;$0.70 ;7.75;39;Saturday;No Sugar;253.5;36.21
FizzySip;1128299;20/10/2022;1;West;California;Coca-Cola;Soda;$0.55 ;8.75;43;Sunday;Sugar;253.5;36.83
FizzySip;1128299;20/10/2022;1;West;California;Diet Coke;Soda;$0.60 ;8.75;43;Monday;No Sugar;253.5;28.3
FizzySip;1128299;20/10/2022;1;West;California;Sprite;Soda;$0.55 ;7;43;Tuesday;Sugar;253.5;36.58
FizzySip;1128299;20/10/2022;1;West;California;Fanta;Soda;$0.55 ;6.75;43;Wednesday;Sugar;253.5;11.89
FizzySip;1128299;20/10/2022;1;West;California;Powerade;Sports Drink;$0.65 ;6.5;43;Thursday;Sugar;253.5;5.23
FizzySip;1128299;20/10/2022;1;West;California;Dasani Water;Water;$0.70 ;7;43;Friday;No Sugar;253.5;37.11
FizzySip;1128299;20/11/2022;1;West;California;Coca-Cola;Soda;$0.55 ;8.75;48;Saturday;Sugar;253.5;16.59
FizzySip;1128299;20/11/2022;1;West;California;Diet Coke;Soda;$0.60 ;8.75;48;Sunday;No Sugar;253.5;11.71
FizzySip;1128299;20/11/2022;1;West;California;Sprite;Soda;$0.55 ;7.25;48;Monday;Sugar;253.5;6.95
FizzySip;1128299;20/11/2022;1;West;California;Fanta;Soda;$0.55 ;7;48;Tuesday;Sugar;253.5;20.99
FizzySip;1128299;20/11/2022;1;West;California;Powerade;Sports Drink;$0.65 ;6.5;48;Wednesday;Sugar;253.5;20.32
FizzySip;1128299;20/11/2022;1;West;California;Dasani Water;Water;$0.70 ;7.75;48;Thursday;No Sugar;253.5;30.06
